"Story","Title","Result","Date","Stability","Duration (s)"
"C07 f01 s001 integration status check","C07-F01-S001-01 Check Propel integration status with SM","SUCCESS","2017-11-01T04:36:53.618Z","0.0","14.39"
"C07 f01 s002 request service catalog item","C07-F01-S002-01 Request Service Catalog Item and Approve it","FAILURE","2017-11-01T04:37:08.207Z","0.0","77.98"
"C07 f01 s003 request support catalog item","C07-F01-S003-01 Request Support Catalog Item","SUCCESS","2017-11-01T04:38:26.199Z","0.0","25.41"
"C07 f01 s004 view knowledge article","C07-F01-S004-01 View Knowledge Article","SUCCESS","2017-11-01T04:38:51.617Z","0.0","0.69"
"C07 f02 s001 search with universal","C07-F02-S001-01 Search with Universal","SUCCESS","2017-11-01T04:51:04.808Z","0.0","24.0"
"C07 f02 s002 search with knowledge service support item","C07-F02-S002-01 Search with Articel/Service/Support","SUCCESS","2017-11-01T04:51:29.300Z","0.0","4.0"
"C07 f02 s003 search with history","C07-F02-S003-01 Search with History","SUCCESS","2017-11-01T04:51:33.305Z","0.0","1.4"
"C07 f02 s004 search with typeahead","C07-F02-S004-01 Search with Typeahead","SUCCESS","2017-11-01T04:51:34.710Z","0.0","0.61"
"C07 f03 s001 add group and grant permission","C07-F03-S001-01 Add group and Grant permission","SUCCESS","2017-11-01T04:39:00.614Z","0.0","3.51"
"C07 f04 s001 catalog admin operations","C07-F04-S001-01 Catalog Admin Operations","SUCCESS","2017-11-01T04:39:04.128Z","0.0","0.69"
"C07 f04 s002 category admin operations","C07-F04-S002-01 Category Admin Operations","SUCCESS","2017-11-01T04:39:04.821Z","0.0","0.75"
"C07 f04 s003 policy admin operations","C07-F04-S003-01 Add Policy and update catalog item","SUCCESS","2017-11-01T04:39:05.599Z","0.0","2.0"
"C07 f04 s003 policy admin operations","C07-F04-S003-02 Order catalog item which has policy approval and approve it","SUCCESS","2017-11-01T04:39:07.596Z","0.0","18.84"
"C07 f04 s003 policy admin operations","C07-F04-S003-03 Delete Policy","SUCCESS","2017-11-01T04:39:26.435Z","0.0","0.53"
"C07 f04 s004 content admin operations","C07-F04-S004-01 Content Management Admin Operations","SUCCESS","2017-11-01T04:39:26.971Z","0.0","0.84"
"C07 f04 s005 supplier synchronize requests","C07-F04-S005-01 Supplier Synchronize Service Requests","SUCCESS","2017-11-01T04:39:27.812Z","0.0","16.64"
"C07 f04 s005 supplier synchronize requests","C07-F04-S005-02 Supplier Synchronize Support Requests","SUCCESS","2017-11-01T04:39:44.458Z","0.0","17.37"
